19	"ato falho"	"PC"	"tem"	"é"	"ato"	"falho"	"falho"	"um"	"um"	"Ocorre que temos razões para nossos esquecimentos, <strong>atos falhos</strong> e medos exagerados."	"Astúcia proposital ou <strong>ato falho</strong> freudiano, a redação ambígua confere ao depoimento um valor que não tem."	"Mas não é um <strong>ato falho</strong> e, ao invés de atrapalhar, trás um elemento a mais para a narrativa."
20	"banho turco"	"PC"	"tem"	"é"	"banho"	"turco"	"turco"	"um"	"um"	"Tome banho em um hammam, ou seja um <strong>banho turco</strong>."	"Somente no século XVII houve a introdução das casas de saunas e <strong>banhos turcos</strong>."	"O banho comunal na idade média e o <strong>banho turco</strong> tinham fins semelhantes."
21	"batata-doce"	"C"	"tem"	"é"	"batata"	"doce"	"doce"	"uma"	"uma"	"Como entrada veio um ceviche amazônico com <strong>batata doce</strong>."	"A <strong>batata doce</strong> é um alimento de baixo índice glicêmico."	"Confira em quais preparações a <strong>batata doce</strong> pode ser utilizada."
22	"bebida alcoólica"	"C"	"tem"	"é"	"bebida"	"alcoólica"	"alcoólico"	"uma"	"uma"	"Você costuma ingerir <strong>bebida alcoólica</strong>?"	"Proibiram a venda de <strong>bebidas alcoólicas</strong>?"	"As <strong>bebidas alcoólicas</strong> podem causar consequências graves."
23	"bode expiatório"	"NC"	"tem"	"é"	"bode"	"expiatório"	"expiatório"	"um"	"um"	"A classe médica está sendo usada como <strong>bode expiatório</strong>."	"Peguei-o para <strong>bode expiatório</strong>, Ziraldo?"	"Dialoguem e não arranjem mais um <strong>bode expiatório</strong>."
24	"braço direito"	"NC"	"tem"	"é"	"braço"	"direito"	"direito"	"um"	"um"	"Ele era praticamente o <strong>braço direito</strong> de meu avô."	"Não me considero <strong>braço direito</strong> do senhor Carlos."	"Tem 37 anos e é o <strong>braço direito</strong> de seu pai, Agustín."
25	"buraco negro"	"NC"	"tem"	"é"	"buraco"	"negro"	"negro"	"um"	"um"	"Esses <strong>buracos negros</strong> poderiam ter tamanhos subatômicos."	"Os <strong>buracos negros</strong> primordiais são propostas teóricas."	"Um <strong>buraco negro</strong> pode engolir pelo menos 10.000 sóis!"
26	"café colonial"	"C"	"tem"	"é"	"café"	"colonial"	"colonial"	"um"	"um"	"Termine a viagem na Floos Haus e saia rolando de tanto comer no <strong>café colonial</strong>."	"Os hotéis locais também oferecem boas alternativas, como noites de bailes e <strong>café coloniais</strong> aos sábados."	"Inclui <strong>café colonial</strong>, almoço, jantar e todas as atividades de lazer, incluindo cavalgadas, caiaque e pesca esportiva."
27	"caixa-forte"	"PC"	"tem"	"é"	"caixa"	"forte"	"forte"	"uma"	"uma"	"Experts em assaltos a cofres e <strong>caixas forte</strong>."	"Quero que estes sejam instalados em <strong>caixa forte</strong> em condições de conservação adequadas a cargo da câmara municipal."	"A lucidez que lhe permitiu guardar esses presentes em uma <strong>caixa forte</strong> blindada daquela casa, em vez dos guardar no Museu da Presidência da República."
28	"caixa-preta"	"PC"	"tem"	"é"	"caixa"	"preta"	"preto"	"uma"	"uma"	"Quando será aberta a <strong>caixa preta</strong> do sindicalismo brasileiro?"	"Eles foram convocados para abrir a <strong>caixa preta</strong> do panamericano."	"Em suma: aparelhos são <strong>caixas pretas</strong> que simulam o pensamento humano."
29	"caixeiro viajante"	"PC"	"tem"	"é"	"caixeiro"	"viajante"	"viajante"	"um"	"um"	"Além de marinheiro e <strong>caixeiro viajante</strong> devo ter sido poeta..."	"Os <strong>caixeiros viajantes</strong> partiram, não para vender a produção, mas para vender o país."	"Ridículo que os <strong>caixeiros viajantes</strong> de agora tentam vender o que os outros vão produzir."
30	"câmara fria"	"PC"	"tem"	"é"	"câmara"	"fria"	"frio"	"uma"	"uma"	"Fomos os primeiros da região a implantar uma <strong>câmara fria</strong> para sementes."	"A <strong>câmara fria</strong> armazena cerca de 30 bois e a capacidade diária de abate chega a 60 bois diários."	"Logo após a produção os barris seguem para os bares da rede e permanecem armazenados em <strong>câmaras frias</strong>."
31	"carne branca"	"PC"	"tem"	"é"	"carne"	"branca"	"branco"	"uma"	"uma"	"Ideal para acompanhar <strong>carnes brancas</strong> e massas."	"As carnes vermelhas são mais nutritivas do que as <strong>carnes brancas</strong>, com relação a micronutrientes."	"Trata-se de <strong>carne branca</strong>, com pouca gordura e boa fonte de proteína."
32	"carne vermelha"	"PC"	"tem"	"é"	"carne"	"vermelha"	"vermelho"	"uma"	"uma"	"Você poderá comer frango grelhado ou cozido ao invés de <strong>carne vermelha</strong>."	"Como os nutricionistas vêem o consumo de <strong>carne vermelha</strong>?"	"Ideal para acompanhar <strong>carnes vermelhas</strong>, caças e porco."
33	"carro-forte"	"PC"	"tem"	"é"	"carro"	"forte"	"forte"	"um"	"um"	"Quando o <strong>carro forte</strong> deixou o banco, os veículos ingressaram no estacionamento."	"Já tivemos ministros que nem sabiam a diferença entre um blindado e um <strong>carro forte</strong>."	"Assaltos mais ousados passaram a acontecer, e os <strong>carros fortes</strong> foram se tornando verdadeiras fortalezas."
34	"carta aberta"	"PC"	"tem"	"é"	"carta"	"aberta"	"aberto"	"uma"	"uma"	"Reproduzimos, na íntegra a <strong>carta aberta</strong> que foi redigida em inglês, macuxi e português."	"A <strong>carta aberta</strong> também faz denúncias de descaso com a saúde de indígenas."	"As cartas argumentativas podem ser: <strong>carta aberta</strong> à população, carta de reclamação e carta de solicitação."
35	"centro comercial"	"C"	"tem"	"é"	"centro"	"comercial"	"comercial"	"um"	"um"	"A chuva levou muita gente aos <strong>centros comerciais</strong>."	"Normalmente, os restaurantes encontram-se dentro de <strong>centros comerciais</strong>."	"Pedimos para ir ao maior <strong>centro comercial</strong> de Delhi."
36	"centro espírita"	"C"	"tem"	"é"	"centro"	"espírita"	"espírita"	"um"	"um"	"Qual o papel que o <strong>centro espírita</strong> deve desempenhar?"	"O <strong>centro espírita</strong> tem que ser o lugar de doutrina espírita."	"O público que frequenta um <strong>centro espírita</strong> busca o que em uma palestra?"
37	"cerca viva"	"PC"	"tem"	"é"	"cerca"	"viva"	"viva"	"uma"	"uma"	"É bem possível realizar uma <strong>cerca viva</strong>, com espécies distintas ao redor da horta."	"Ela forma uma ótima <strong>cerca viva</strong> quando plantada a cada metro e meio. "	"Também são cultivadas para <strong>cercas vivas</strong> inclusive de divisas territoriais e para sombreamento de estradas."
38	"céu aberto"	"NC"	"tem"	"é"	"céu"	"aberto"	"aberto"	"um"	"um"	"Em Florianópolis, o shopping a <strong>céu aberto</strong> será na rua Vidal Ramos."	"Eram umas lobas que, a <strong>céu aberto</strong> lutavam raivosamente para proteger sua tribo."	"O Inhotim reune obras de arte a <strong>céu aberto</strong>, galerias e um acervo com cerca de 500 obras de arte."
39	"cheiro-verde"	"NC"	"tem"	"é"	"cheiro"	"verde"	"verde"	"um"	"um"	"Pique o <strong>cheiro verde</strong> e as folhas de aipo."	"Bouquet garni: palavra de origem francesa que significa um ramalhete de <strong>cheiros verdes</strong>."	"Acerte o sal e finalize com suco de limão cravo e o <strong>cheiro verde</strong>."
40	"circuito integrado"	"C"	"tem"	"é"	"circuito"	"integrado"	"integrado"	"um"	"um"	"Nascia aí o <strong>circuito integrado</strong>, um pequeno pedaço, um pequeno chip."	"Em 1965, produziu seu primeiro <strong>circuito integrado</strong> experimental e começou a lançar equipamentos electrônicos transistorizados."	"Isto culminou com a construção do primeiro <strong>circuito integrado</strong> no final da década de sessenta."
41	"círculo vicioso"	"PC"	"tem"	"é"	"círculo"	"vicioso"	"vicioso"	"um"	"um"	"Como cortar este <strong>círculo vicioso</strong> negativo, destrutivo?"	"Acelerou-se o <strong>círculo vicioso</strong> entre finanças e política."	"Comendo mais, engorda e assim começa um <strong>círculo vicioso</strong>."
42	"círculo virtuoso"	"PC"	"tem"	"é"	"círculo"	"virtuoso"	"virtuoso"	"um"	"um"	"Em um <strong>círculo virtuoso</strong>, o processo se auto-alimenta."	"Um comportamento altruístico que gera o <strong>círculo virtuoso</strong> da reciprocidade."	"Foi criado um <strong>círculo virtuoso</strong>, em que se geram empregos formais, com salários maiores."
43	"classe executiva"	"PC"	"tem"	"é"	"classe"	"executiva"	"executivo"	"uma"	"uma"	"E ainda falta contar o preço de as passagens, todas na <strong>classe executiva</strong>."	"Ninguém viaja de <strong>classe executiva</strong> e os quartos dos hotéis são sempre compartilhados."	"Os lounges para primeira classe e <strong>classe executiva</strong> ficam no andar de cima."
44	"colégio militar"	"C"	"tem"	"é"	"colégio"	"militar"	"militar"	"um"	"um"	"Ela tem apenas 18 anos e cursa o último ano no <strong>colégio militar</strong> de Porto Alegre."	"Em 1960 ingressou no <strong>colégio militar</strong> em Lisboa."	"Cursou o <strong>colégio militar</strong> do Rio de Janeiro, no qual obteve o diploma de agrimensor."
45	"coluna social"	"PC"	"tem"	"é"	"coluna"	"social"	"social"	"uma"	"uma"	"O casal foi o assunto em todas as <strong>colunas sociais</strong>."	"Seus rostos ilustram as <strong>colunas sociais</strong> e as revistas de fofocas revelam sua vida privada."	"Depois de três anos vivendo em Washington, ele nunca apareceu em <strong>colunas sociais</strong>."
46	"comida caseira"	"C"	"tem"	"é"	"comida"	"caseira"	"caseiro"	"uma"	"uma"	"Deve estar habituado a <strong>comida caseira</strong> porque só quer latas de comida."	"Na passagem vimos uma plaquinha em uma casa anunciando <strong>comida caseira</strong>."	"No fundo do quintal tem mesinhas onde ela serve <strong>comida caseira</strong>."
47	"companhia aérea"	"C"	"tem"	"é"	"companhia"	"aérea"	"aéreo"	"uma"	"uma"	"A TAM linhas aéreas é uma <strong>companhia aérea</strong> brasileira."	"A Varig foi a primeira <strong>companhia aérea</strong> brasileira."	"Nossas <strong>companhias aéreas</strong> têm um histórico assustador."
48	"conta-corrente"	"PC"	"tem"	"é"	"conta"	"corrente"	"corrente"	"uma"	"uma"	"O governo britânico ameaçou congelar poupanças islandesas e <strong>contas correntes</strong>."	"Por exemplo, as transações ilegais de valores de <strong>contas correntes</strong>."	"Um cartão de débito tem ligação com sua <strong>conta corrente</strong>."
49	"coração partido"	"PC"	"tem"	"é"	"coração"	"partido"	"partido"	"um"	"um"	"Está com o <strong>coração partido</strong>, sangrando por dentro?"	"Estou realmente destruída, com o meu <strong>coração partido</strong>."	"A dor de um <strong>coração partido</strong> é inevitável, mas o sofrimento é opcional."
50	"corda bamba"	"NC"	"tem"	"é"	"corda"	"bamba"	"bambo"	"uma"	"uma"	"Você está sempre à beira do erro, na <strong>corda bamba</strong>."	"É difícil viver o tempo todo nessa <strong>corda bamba</strong>."	"É uma <strong>corda bamba</strong>, mas acho que conseguimos nos equilibrar muito bem."
51	"cordas vocais"	"C"	"têm"	"são"	"cordas"	"vocais"	"vocal"	"<!--x-->"	"<!--x-->"	"Sussurrar não poupa as <strong>cordas vocais</strong>, muito pelo contrário."	"A freqüência da voz é determinada pelas <strong>cordas vocais</strong>."	"Crises de tosse também podem causar lesão nas <strong>cordas vocais</strong>."
52	"curto-circuito"	"PC"	"tem"	"é"	"circuito"	"curto"	"curto"	"um"	"um"	"A memória entra em <strong>curto-circuito</strong>."	"Apagaram as luzes com um <strong>curto-circuito</strong> na casa de força."	"O incêndio foi provocado pelo <strong>curto-circuito</strong> de um video-game."
53	"deputado federal"	"C"	"tem"	"é"	"deputado"	"federal"	"federal"	"um"	"um"	"Ele quer se candidatar a <strong>deputado federal</strong> em 2014."	"Em 1986, elegeu-se <strong>deputado federal</strong> por São Paulo."	"O Nordeste tem 27 senadores e mais de uma centena de <strong>deputados federais</strong>."
54	"desfile militar"	"C"	"tem"	"é"	"desfile"	"militar"	"militar"	"um"	"um"	"Durante este festival os Sikhs realizam <strong>desfiles militares</strong> e espectáculos de artes marciais."	"Apenas será mantido o <strong>desfile militar</strong> na avenida Champs-Élysées."	"Em Moscou, a data é comemorada com <strong>desfiles militares</strong>, apresentações musicais e queima de fogos."
55	"direitos humanos"	"C"	"têm"	"são"	"direitos"	"humanos"	"humano"	"<!--x-->"	"<!--x-->"	"Os crimes relacionados com <strong>direitos humanos</strong> prescrevem?"	"Defensor ou agressor dos <strong>direitos humanos</strong>?"	"O documento citará a violação de <strong>direitos humanos</strong>."
56	"disco rígido"	"PC"	"tem"	"é"	"disco"	"rígido"	"rígido"	"um"	"um"	"Os spywares exploram os cookies armazenados no <strong>disco rígido</strong>."	"20Mb de espaço disponível no <strong>disco rígido</strong>;"	"A imagem do sistema deve ser salva em um <strong>disco rígido</strong>."
57	"disco voador"	"NC"	"tem"	"é"	"disco"	"voador"	"voador"	"um"	"um"	"Ilustração do que se acredita serem <strong>discos voadores</strong>."	"Estamos totalmente alheios a esse assunto de <strong>disco voador</strong>."	"Um encontro fatal com tripulantes de um <strong>disco voador</strong>?"
58	"efeito especial"	"PC"	"tem"	"é"	"efeito"	"especial"	"especial"	"um"	"um"	"Os <strong>efeitos especiais</strong> são convincentes."	"A cena é grotesca, com <strong>efeitos especiais</strong> exagerados e nojentos."	"Um mundo repleto de fabulosos <strong>efeitos especiais</strong> tridimensionais."
59	"elefante branco"	"NC"	"tem"	"é"	"elefante"	"branco"	"branco"	"um"	"um"	"Alguns dos estádios novos foram criticados por se tornarem \"<strong>elefantes brancos</strong>\" após a Copa."	"Tenho preocupação com o futuro do estádio de Manaus, pode ser mesmo um <strong>elefante branco</strong>."	"Os projectos megalómanos pontificavam-se como verdadeiros <strong>elefantes brancos</strong> desbaratando a eito toda a ajuda da cooperação internacional "
60	"escada rolante"	"PC"	"tem"	"é"	"escada"	"rolante"	"rolante"	"uma"	"uma"	"Os elevadores, <strong>escadas rolantes</strong> e esteiras rolantes;"	"Próximo existem duas <strong>escadas rolantes</strong> e dois elevadores."	"Nas outras subo de <strong>escada rolante</strong> com acompanhante."
61	"estrela cadente"	"C"	"tem"	"é"	"estrela"	"cadente"	"cadente"	"uma"	"uma"	"Um meteoro é também por vezes designado de <strong>estrela cadente</strong>."	"Nosso sistema solar também apresenta um fenômeno atmosférico frequente: as <strong>estrelas cadentes</strong>."	"E não é que uma chuva de <strong>estrelas cadentes</strong> caiu sobre a Terra?"
62	"exame clínico"	"C"	"tem"	"é"	"exame"	"clínico"	"clínico"	"um"	"um"	"Esse diagnostico é realizado através de <strong>exame clínico</strong> e radiográfico."	"Simples <strong>exame clínico</strong> poderia perfeitamente atender à exigência do tipo."	"Durante um <strong>exame clínico</strong>, muitas vezes o médico pode palpar a bexiga cheia."
63	"exame laboratorial"	"C"	"tem"	"é"	"exame"	"laboratorial"	"laboratorial"	"um"	"um"	"Reagentes aceleram o resultado de <strong>exames laboratoriais</strong>."	"O diagnóstico é feito através de <strong>exames laboratoriais</strong>."	"Não basta fazer <strong>exames laboratoriais</strong> e radiografias para estabelecer o diagnóstico."
64	"farinha integral"	"C"	"tem"	"é"	"farinha"	"integral"	"integral"	"uma"	"uma"	"Elaboração de macarrão cozido à base de <strong>farinha integral</strong> de quinoa e farinha de arroz."	"Use <strong>farinha integral</strong> em lugar da farinha branca ou fina, que é pobre de elementos nutritivos."	"Cada uma dessas linhas tem várias subdivisões com pães elaborados a partir de matérias-primas como centeio, glúten, linhaça e <strong>farinha integral</strong>."
65	"febre amarela"	"PC"	"tem"	"é"	"febre"	"amarela"	"amarelo"	"uma"	"uma"	"Jean-Baptiste morreu de <strong>febre amarela</strong> quando o filho tinha quinze meses."	"O Rio de Janeiro era assolado por doenças como varíola e <strong>febre amarela</strong>."	"Fui olhar o meu atestado de vacina contra <strong>febre amarela</strong>."
66	"ficha limpa"	"NC"	"tem"	"é"	"ficha"	"limpa"	"limpo"	"uma"	"uma"	"A questão da corrupção, da <strong>ficha limpa</strong>."	"Não há objeção dos deputados para que haja <strong>ficha limpa</strong>."	"Só deputado e senador têm que ter <strong>ficha limpa</strong>? "
67	"fila indiana"	"PC"	"tem"	"é"	"fila"	"indiana"	"indiano"	"uma"	"uma"	"Caminhavam em <strong>fila indiana</strong>, uma influência indígena."	"Seguimos em <strong>fila indiana</strong> subindo e descendo encostas de areia carregando nossas enormes mochilas."	"Chamamos de <strong>fila indiana</strong> a fila em que uma pessoa fica atrás da outra esperando sua vez."
68	"fio condutor"	"NC"	"tem"	"é"	"fio"	"condutor"	"condutor"	"um"	"um"	"Esse é o <strong>fio condutor</strong> dessa coletânea de textos."	"Tem um <strong>fio condutor</strong> em redor do qual se desencadeia toda a história."	"A grande preocupação foi que houvesse um <strong>fio condutor</strong> em todo o concerto."
69	"força bruta"	"PC"	"tem"	"é"	"força"	"bruta"	"bruto"	"uma"	"uma"	"A <strong>força bruta</strong> seria a solução para a criminalidade que nos assola."	"A mobilidade da vida social moderna exige inteligência, não <strong>força bruta</strong>;"	"Usar a <strong>força bruta</strong>, para tentar impor um ponto de vista não vai funcionar."
70	"gato-pingado"	"NC"	"tem"	"é"	"gato"	"pingado"	"pingado"	"um"	"um"	"Não deu quase ninguém, só alguns <strong>gatos pingados</strong>! "	"Os esquerdistas, na comparação, eram meia dúzia de <strong>gatos pingados</strong>."	"Se der mil <strong>gatos pingados</strong> pode registrar como o primeiro milagre no século XXI."
71	"gelo-seco"	"PC"	"tem"	"é"	"gelo"	"seco"	"seco"	"um"	"um"	"Weldon igualou os efeitos filmados em Yellowstone com <strong>gelo seco</strong> e máquinas de fumaça."	"Sim, o <strong>gelo seco</strong>, que é dióxido de carbono na forma sólida, é uma substância perigosa."	"Os pólos estão cobertos por calotas polares formadas por <strong>gelo seco</strong> (dióxido de carbono congelado) e gelo de água."
72	"golpe baixo"	"NC"	"tem"	"é"	"golpe"	"baixo"	"baixo"	"um"	"um"	"A Internet abre possibilidades sem fim para abusos e <strong>golpes baixos</strong>."	"Em esse campo são corriqueiras as brigas judiciais, <strong>golpes baixos</strong> e acusações de favorecimento."	"No afã de alcançar seus objetivos, para alguns vale tudo, até <strong>golpes baixos</strong>."
73	"governo federal"	"C"	"tem"	"é"	"governo"	"federal"	"federal"	"um"	"um"	"Apenas o <strong>governo federal</strong> teria essa autoridade."	"Armados e treinados pelo <strong>governo federal</strong>."	"Uma crise política abalou o <strong>governo federal</strong>."
74	"gripe aviária"	"PC"	"tem"	"é"	"gripe"	"aviária"	"aviário"	"uma"	"uma"	"Há suspeitas de que o foco da <strong>gripe aviária</strong> tenha surgido nesses locais."	"Seja essa pandemia causada pelo vírus da <strong>gripe aviária</strong>, suína ou qualquer outro."	"Os porcos também podem ser infectados por vírus da <strong>gripe aviária</strong> e por vírus da influenza sazonal humana."
75	"gripe suína"	"PC"	"tem"	"é"	"gripe"	"suína"	"suíno"	"uma"	"uma"	"Como a <strong>gripe suína</strong> se espalha?"	"Como diferenciar entre gripe comum e <strong>gripe suína</strong>?"	"Existe uma vacina que combate a <strong>gripe suína</strong>?"
76	"guarda-florestal"	"C"	"tem"	"é"	"guarda"	"florestal"	"florestal"	"um"	"um"	"Um <strong>guarda florestal</strong> faz patrulhas regulares para afastar os caçadores."	"Ele foi no início utilizado por <strong>guardas florestais</strong> para combater a caça clandestina."	"No inverno, só pode visitar a Spruce Tree House em uma visita guiada por um <strong>guarda florestal</strong>."
77	"jogo duro"	"NC"	"tem"	"é"	"jogo"	"duro"	"duro"	"um"	"um"	"Eu sou franco e <strong>jogo duro</strong>, não abro mão de aquilo que eu gosto."	"A captação de recursos privados tem sido afetada pelo <strong>jogo duro</strong> do Planalto e pela ausência de uma lei das ONGs."	"A oposição fez um <strong>jogo duro</strong>, não dando trégua, na esperança de enfraquecer lula e derrotá-lo"
78	"juízo final"	"NC"	"tem"	"é"	"juízo"	"final"	"final"	"um"	"um"	"A ressurreição dos mortos ocorrerá antes do <strong>juízo final</strong>."	"A parede do fundo exibia cenas relativas ao <strong>juízo final</strong>."	"Esse veredito de Deus sobre Davi nos leva ao grande <strong>juízo final</strong>."
79	"leite integral"	"C"	"tem"	"é"	"leite"	"integral"	"integral"	"um"	"um"	"Depois do primeiro aniversário, já dá para dar <strong>leite integral</strong>."	"O brasileiro aumentou o consumo de <strong>leite integral</strong> e carne com gordura."	"Troque o <strong>leite integral</strong> pelo desnatado e economize nas calorias."
80	"lista negra"	"PC"	"tem"	"é"	"lista"	"negra"	"negro"	"uma"	"uma"	"Maradona e Palermo também estão na <strong>lista negra</strong> de Román."	"Passou sete meses com homens que estavam na <strong>lista negra</strong> de Israel."	"Quem se recusasse a aceitar esse Evangelho era colocado na <strong>lista negra</strong>."
81	"livre-docente"	"PC"	"tem"	"é"	"docente"	"livre"	"livre"	"um"	"um"	"Sou também mestre e doutor, e depois <strong>livre docente</strong>."	"Membro da American Academy of Forensic Science, Wilmes é <strong>livre-docente</strong> e dá aulas em três faculdades."	"Seu pai era químico e foi <strong>livre docente</strong> da Universidade de Praga."
82	"livro aberto"	"NC"	"tem"	"é"	"livro"	"aberto"	"aberto"	"um"	"um"	"Quem adora desta forma nada tem a esconder, sua vida é um <strong>livro aberto</strong>."	"Você é simplesmente um <strong>livro aberto</strong>, contando ao mundo a respeito de seu autor."	"Porque eu posso ser um <strong>livro aberto</strong> - mas algumas páginas estão e continuarão coladas, hehehe."
83	"longa data"	"NC"	"tem"	"é"	"data"	"longa"	"longo"	"uma"	"uma"	"Todos vocês me conhecem de <strong>longa data</strong>."	"Essa colaboração de <strong>longa data</strong> também ajuda."	"Não é que fôssemos amigos de <strong>longa data</strong>."
84	"longa-metragem"	"NC"	"tem"	"é"	"metragem"	"longa"	"longo"	"uma"	"uma"	"O <strong>longa-metragem</strong> tem Isabella Rossellini no elenco."	"O <strong>longa-metragem</strong> mudo francês quebrou diversos paradigmas."	"Seus documentários de <strong>longa-metragem</strong> alcançaram grande sucesso."
85	"lua cheia"	"C"	"tem"	"é"	"lua"	"cheia"	"cheio"	"uma"	"uma"	"Este ano de <strong>luas cheias</strong> é muito apropriadamente chamado!"	"O seguimento das estrelas permitiu-lhes reconhecer e antecipar eventos tais como eclipses e <strong>luas cheias</strong>."	"Todas as <strong>luas cheias</strong>, possuem diferentes auréolas, a branca é simbólica da magia branca, a dourada trás prosperidade."
